loan_id,account_id,date,Norm_date,amount,duration,payments,status,Status
6087,5313,940227,1950-05-05,300660,60,5011,C,Running Contract
7262,11135,940301,1924-06-02,182628,36,5073,A,Contract Finished
5519,2694,940308,1931-06-02,91632,12,7636,A,Contract Finished
6577,7753,940311,1934-06-02,51696,24,2154,A,Contract Finished
6509,7445,940315,1938-06-02,55368,24,2307,A,Contract Finished
6520,7485,940316,1939-06-02,91200,24,3800,A,Contract Finished
6699,8330,940330,1953-06-02,7656,24,319,A,Contract Finished
6336,6555,940331,1954-06-02,212400,36,5900,A,Contract Finished
7055,10079,940406,1929-07-03,167100,60,2785,C,Running Contract
6103,5385,940407,1930-07-03,149340,60,2489,C,Running Contract
6202,5891,940418,1941-07-03,65184,12,5432,A,Contract Finished
7066,10131,940502,1925-08-02,215388,36,5983,B,Loan Not Paid
6696,8321,940509,1932-08-02,89040,60,1484,C,Running Contract
6072,5256,940510,1933-08-02,193968,36,5388,A,Contract Finished
5130,813,940511,1934-08-02,24312,12,2026,A,Contract Finished
5568,2933,940517,1940-08-02,272520,60,4542,C,Running Contract
6678,8173,940520,1943-08-02,80340,12,6695,A,Contract Finished
6998,9833,940521,1944-08-02,97632,12,8136,A,Contract Finished
6580,7769,940522,1945-08-02,196080,48,4085,A,Contract Finished
6316,6473,940526,1949-08-02,76908,12,6409,B,Loan Not Paid
6512,7454,940526,1949-08-02,63312,48,1319,A,Contract Finished
6407,6930,940526,1949-08-02,25944,24,1081,A,Contract Finished
5002,173,940531,1954-08-02,104808,12,8734,A,Contract Finished
6647,8051,940601,1924-09-02,208320,48,4340,A,Contract Finished
7137,10439,940603,1926-09-02,151560,24,6315,A,Contract Finished
6903,9337,940604,1927-09-02,52128,24,2172,A,Contract Finished
5918,4576,940604,1927-09-02,300204,36,8339,A,Contract Finished
6642,8027,940605,1928-09-02,77640,12,6470,A,Contract Finished
6210,5927,940606,1929-09-02,87216,48,1817,B,Loan Not Paid
6279,6273,940607,1930-09-02,87360,24,3640,A,Contract Finished
7249,11065,940612,1935-09-02,69360,48,1445,A,Contract Finished
6736,8558,940614,1937-09-02,288360,60,4806,C,Running Contract
6112,5442,940617,1940-09-02,174744,24,7281,B,Loan Not Paid
5319,1811,940623,1946-09-02,239460,60,3991,C,Running Contract
6596,7844,940625,1948-09-02,91584,24,3816,A,Contract Finished
5837,4260,940629,1952-09-02,244560,60,4076,C,Running Contract
5657,3354,940705,1928-10-02,4980,12,415,A,Contract Finished
5533,2762,940705,1928-10-02,111384,24,4641,A,Contract Finished
6232,6051,940708,1931-10-02,276660,36,7685,B,Loan Not Paid
6888,9265,940711,1934-10-02,39576,12,3298,A,Contract Finished
6066,5228,940711,1934-10-02,173808,24,7242,A,Contract Finished
5549,2824,940716,1939-10-02,50460,60,841,C,Running Contract
5060,426,940719,1942-10-02,252060,60,4201,D,Client in Debt
6004,4937,940723,1946-10-02,143904,24,5996,A,Contract Finished
5126,790,940724,1947-10-02,208128,48,4336,B,Loan Not Paid
7220,10911,940728,1951-10-02,131292,36,3647,A,Contract Finished
6668,8129,940730,1953-10-02,74736,36,2076,A,Contract Finished
5395,2176,940730,1953-10-02,299088,36,8308,B,Loan Not Paid
6836,9093,940803,1926-11-02,189300,60,3155,C,Running Contract
6064,5215,940804,1927-11-02,14628,12,1219,A,Contract Finished
6919,9403,940805,1928-11-02,120888,36,3358,A,Contract Finished
6841,9104,940807,1930-11-02,172080,48,3585,A,Contract Finished
6038,5120,940810,1933-11-02,323472,48,6739,A,Contract Finished
6729,8519,940811,1934-11-02,74688,12,6224,A,Contract Finished
7198,10788,940823,1946-11-02,45768,12,3814,A,Contract Finished
6686,8260,940825,1948-11-02,224604,36,6239,A,Contract Finished
5836,4259,940827,1950-11-02,79632,24,3318,A,Contract Finished
7061,10105,940827,1950-11-02,121896,24,5079,A,Contract Finished
5595,3050,940902,1925-12-03,82896,12,6908,A,Contract Finished
5723,3674,940910,1933-12-03,23628,12,1969,A,Contract Finished
6120,5481,940911,1934-12-03,209184,48,4358,A,Contract Finished
6895,9307,940919,1942-12-03,41904,12,3492,A,Contract Finished
5882,4427,940926,1949-12-03,87816,12,7318,A,Contract Finished
5754,3834,940928,1951-12-03,23052,12,1921,A,Contract Finished
6594,7824,940928,1951-12-03,189696,24,7904,B,Loan Not Paid
6738,8566,940929,1952-12-03,230220,36,6395,B,Loan Not Paid
6624,7965,940930,1953-12-03,71460,12,5955,A,Contract Finished
6216,5952,940930,1953-12-03,141240,24,5885,A,Contract Finished
6229,6040,941002,1926-01-02,11736,24,489,A,Contract Finished
5887,4448,941003,1927-01-02,192744,36,5354,A,Contract Finished
6808,8982,941012,1936-01-02,227880,36,6330,A,Contract Finished
6297,6363,941025,1949-01-02,17508,12,1459,A,Contract Finished
5161,1012,941028,1952-01-02,98184,24,4091,A,Contract Finished
5390,2167,941030,1954-01-02,170256,24,7094,A,Contract Finished
6150,5622,941102,1926-02-02,83016,12,6918,A,Contract Finished
6223,5991,941103,1927-02-02,61056,48,1272,A,Contract Finished
5032,290,941103,1927-02-02,123696,48,2577,A,Contract Finished
6253,6148,941104,1928-02-02,59760,24,2490,A,Contract Finished
6460,7133,941106,1930-02-02,48672,36,1352,A,Contract Finished
6645,8041,941106,1930-02-02,140400,36,3900,A,Contract Finished
5176,1106,941112,1936-02-02,192552,24,8023,B,Loan Not Paid
5269,1527,941119,1943-02-02,164052,36,4557,B,Loan Not Paid
5351,1978,941204,1928-03-03,205200,36,5700,A,Contract Finished
5861,4337,941208,1932-03-03,51408,24,2142,A,Contract Finished
5450,2345,941211,1935-03-04,199680,60,3328,C,Running Contract
7142,10451,941219,1943-03-04,482940,60,8049,D,Client in Debt
6306,6425,941220,1944-03-03,36684,12,3057,A,Contract Finished
6272,6226,941220,1944-03-03,398640,60,6644,C,Running Contract
5044,344,941221,1945-03-04,100980,60,1683,C,Running Contract
5576,2962,941221,1945-03-04,31248,12,2604,A,Contract Finished
7192,10738,941221,1945-03-04,115992,36,3222,A,Contract Finished
5739,3747,950102,1925-04-05,76380,12,6365,A,Contract Finished
6526,7523,950103,1926-04-05,288468,36,8013,A,Contract Finished
5624,3166,950103,1926-04-05,177744,48,3703,D,Client in Debt
6244,6118,950108,1931-04-05,270648,36,7518,B,Loan Not Paid
5131,816,950108,1931-04-05,48624,24,2026,A,Contract Finished
6960,9640,950111,1934-04-05,76416,24,3184,A,Contract Finished
6358,6715,950114,1937-04-05,137880,60,2298,D,Client in Debt
5418,2245,950116,1939-04-05,347952,48,7249,C,Running Contract
6598,7857,950118,1941-04-05,68112,12,5676,A,Contract Finished
5464,2419,950130,1953-04-05,95808,12,7984,A,Contract Finished
6591,7819,950202,1925-05-06,20832,48,434,C,Running Contract
5724,3678,950205,1928-05-05,316140,60,5269,D,Client in Debt
6315,6472,950206,1929-05-06,43164,12,3597,A,Contract Finished
5876,4413,950208,1931-05-06,221280,48,4610,C,Running Contract
6986,9750,950211,1934-05-06,151728,48,3161,D,Client in Debt
6294,6353,950212,1935-05-06,79920,60,1332,C,Running Contract
5132,817,950217,1940-05-05,538500,60,8975,C,Running Contract
5877,4414,950223,1946-05-06,97224,24,4051,A,Contract Finished
6227,6030,950304,1927-06-03,28248,24,1177,A,Contract Finished
7241,11021,950304,1927-06-03,168984,24,7041,B,Loan Not Paid
6737,8564,950311,1934-06-03,76680,24,3195,A,Contract Finished
7004,9869,950315,1938-06-03,331560,60,5526,C,Running Contract
6169,5700,950316,1939-06-03,103680,60,1728,D,Client in Debt
5208,1247,950316,1939-06-03,99696,48,2077,D,Client in Debt
6694,8316,950319,1942-06-03,134784,24,5616,A,Contract Finished
5599,3064,950321,1944-06-03,15420,12,1285,A,Contract Finished
6546,7607,950327,1950-06-03,31728,24,1322,A,Contract Finished
5414,2228,950329,1952-06-03,185952,48,3874,C,Running Contract
5453,2361,950401,1924-07-04,156672,36,4352,A,Contract Finished
5740,3752,950402,1925-07-04,18564,12,1547,A,Contract Finished
5804,4079,950405,1928-07-04,158976,48,3312,C,Running Contract
6745,8625,950410,1933-07-04,47304,24,1971,A,Contract Finished
6950,9591,950411,1934-07-04,104712,24,4363,A,Contract Finished
6996,9828,950413,1936-07-04,126600,24,5275,A,Contract Finished
5352,1993,950415,1938-07-04,68400,12,5700,B,Loan Not Paid
6151,5628,950425,1948-07-04,225420,60,3757,C,Running Contract
5310,1762,950428,1951-07-04,248148,36,6893,A,Contract Finished
5045,347,950501,1924-08-03,187224,24,7801,B,Loan Not Paid
6929,9472,950508,1931-08-03,36396,12,3033,A,Contract Finished
5151,960,950524,1947-08-03,189060,60,3151,C,Running Contract
5212,1256,950529,1952-08-03,71064,36,1974,A,Contract Finished
5138,854,950530,1953-08-03,87216,48,1817,C,Running Contract
5713,3629,950530,1953-08-03,158760,60,2646,C,Running Contract
6704,8377,950601,1924-09-03,417060,60,6951,C,Running Contract
6474,7190,950606,1929-09-03,63360,60,1056,C,Running Contract
6676,8159,950613,1936-09-03,29784,24,1241,A,Contract Finished
6965,9656,950613,1936-09-03,139536,24,5814,A,Contract Finished
6725,8489,950623,1946-09-03,265320,36,7370,A,Contract Finished
7166,10630,950624,1947-09-03,198240,24,8260,A,Contract Finished
7138,10440,950703,1926-10-03,60000,60,1000,C,Running Contract
5970,4774,950709,1932-10-03,465072,48,9689,C,Running Contract
6157,5650,950710,1933-10-03,98592,24,4108,A,Contract Finished
6153,5632,950725,1948-10-03,285600,60,4760,C,Running Contract
5693,3489,950801,1924-11-03,44088,24,1837,A,Contract Finished
5922,4580,950805,1928-11-03,20220,12,1685,A,Contract Finished
5959,4727,950811,1934-11-03,107640,24,4485,A,Contract Finished
5980,4825,950818,1941-11-03,21396,12,1783,A,Contract Finished
6764,8776,950826,1949-11-03,33984,48,708,C,Running Contract
5237,1375,950829,1952-11-03,45336,24,1889,A,Contract Finished
6726,8492,950903,1926-12-04,85860,60,1431,C,Running Contract
6933,9493,950909,1932-12-04,188688,48,3931,C,Running Contract
5145,915,950916,1939-12-04,309552,48,6449,C,Running Contract
7008,9897,950922,1945-12-04,36168,12,3014,A,Contract Finished
7227,10942,951002,1926-01-03,314520,60,5242,C,Running Contract
6600,7861,951008,1932-01-03,21852,36,607,A,Contract Finished
6712,8405,951014,1938-01-03,266220,60,4437,C,Running Contract
7057,10093,951020,1944-01-03,231696,36,6436,A,Contract Finished
7176,10663,951028,1952-01-03,260028,36,7223,A,Contract Finished
7304,11349,951029,1953-01-03,419880,60,6998,C,Running Contract
6362,6738,951031,1955-01-03,37908,12,3159,A,Contract Finished
5880,4423,951031,1955-01-03,73836,36,2051,A,Contract Finished
6535,7546,951102,1926-02-03,41952,12,3496,A,Contract Finished
5449,2343,951104,1928-02-03,99336,24,4139,A,Contract Finished
6342,6609,951112,1936-02-03,60156,36,1671,B,Loan Not Paid
5409,2218,951118,1942-02-03,182040,60,3034,C,Running Contract
6955,9627,951122,1946-02-03,244368,48,5091,C,Running Contract
6985,9731,951122,1946-02-03,113796,36,3161,A,Contract Finished
5125,789,951123,1947-02-03,73056,48,1522,C,Running Contract
5805,4081,951128,1952-02-03,137904,24,5746,B,Loan Not Paid
6185,5774,951128,1952-02-03,31176,24,1299,A,Contract Finished
7243,11042,951204,1928-03-04,217152,36,6032,A,Contract Finished
6403,6924,951205,1929-03-05,194880,48,4060,C,Running Contract
6578,7765,951211,1935-03-05,27984,12,2332,A,Contract Finished
5413,2227,951212,1936-03-04,92976,24,3874,A,Contract Finished
6949,9583,951212,1936-03-04,104712,24,4363,A,Contract Finished
6545,7606,951212,1936-03-04,191880,60,3198,C,Running Contract
6178,5742,951216,1940-03-04,232560,48,4845,C,Running Contract
5160,1011,951218,1942-03-05,204000,60,3400,C,Running Contract
6785,8899,951225,1949-03-05,125340,60,2089,C,Running Contract
6540,7562,951231,1955-03-05,309600,48,6450,C,Running Contract
6589,7815,960101,1924-04-05,189696,24,7904,A,Contract Finished
5900,4503,960101,1924-04-05,135360,48,2820,C,Running Contract
5999,4907,960103,1926-04-06,98832,48,2059,C,Running Contract
6043,5126,960111,1934-04-06,20352,48,424,C,Running Contract
5482,2496,960112,1935-04-06,165120,60,2752,C,Running Contract
7263,11138,960119,1942-04-06,89880,24,3745,A,Contract Finished
6013,4995,960203,1926-05-07,128988,36,3583,D,Client in Debt
5750,3804,960208,1931-05-07,63252,12,5271,A,Contract Finished
6027,5066,960210,1933-05-07,61656,24,2569,B,Loan Not Paid
6303,6400,960212,1935-05-07,72408,24,3017,B,Loan Not Paid
7213,10884,960213,1936-05-06,113544,36,3154,C,Running Contract
6659,8092,960220,1943-05-07,56100,60,935,C,Running Contract
6175,5735,960221,1944-05-06,290700,60,4845,D,Client in Debt
5610,3112,960224,1947-05-07,123216,48,2567,C,Running Contract
5563,2912,960229,1952-05-06,380160,60,6336,C,Running Contract
5989,4852,960304,1927-06-04,213300,36,5925,C,Running Contract
6698,8327,960310,1933-06-04,247728,48,5161,C,Running Contract
5312,1772,960313,1936-06-04,202788,36,5633,C,Running Contract
7189,10728,960321,1944-06-04,154656,48,3222,C,Running Contract
6816,9017,960326,1949-06-04,100224,48,2088,D,Client in Debt
6137,5574,960410,1933-07-05,44628,12,3719,A,Contract Finished
5128,808,960411,1934-07-05,215616,48,4492,D,Client in Debt
5470,2456,960415,1938-07-05,200976,48,4187,C,Running Contract
5593,3037,960418,1941-07-05,277884,36,7719,D,Client in Debt
5350,1967,960421,1944-07-05,249312,48,5194,C,Running Contract
6063,5213,960425,1948-07-05,320976,48,6687,D,Client in Debt
6501,7418,960429,1952-07-05,30276,12,2523,B,Loan Not Paid
5452,2352,960429,1952-07-05,49440,60,824,C,Running Contract
4961,19,960429,1952-07-05,30276,12,2523,B,Loan Not Paid
4973,67,960502,1925-08-04,165960,24,6915,A,Contract Finished
6190,5794,960506,1929-08-04,123600,60,2060,C,Running Contract
6715,8411,960506,1929-08-04,220620,60,3677,C,Running Contract
5892,4462,960514,1937-08-04,66480,24,2770,B,Loan Not Paid
6550,7614,960518,1941-08-04,320592,48,6679,C,Running Contract
5706,3608,960524,1947-08-04,161496,36,4486,C,Running Contract
5148,940,960529,1952-08-04,284280,60,4738,C,Running Contract
6734,8547,960530,1953-08-04,173016,36,4806,C,Running Contract
6109,5422,960603,1926-09-04,368880,60,6148,C,Running Contract
6961,9645,960606,1929-09-04,176148,36,4893,C,Running Contract
6810,9006,960608,1931-09-04,186384,48,3883,C,Running Contract
5494,2572,960613,1936-09-04,360000,48,7500,C,Running Contract
5311,1766,960615,1938-09-04,30060,60,501,C,Running Contract
5445,2322,960629,1952-09-04,46320,24,1930,A,Contract Finished
5301,1698,960706,1929-10-04,141948,36,3943,C,Running Contract
7034,10001,960711,1934-10-04,19044,36,529,C,Running Contract
6751,8680,960714,1937-10-04,85716,36,2381,C,Running Contract
6667,8127,960715,1938-10-04,155880,24,6495,A,Contract Finished
6130,5541,960718,1941-10-04,32640,48,680,C,Running Contract
5429,2268,960718,1941-10-04,20196,36,561,C,Running Contract
5725,3679,960723,1946-10-04,444864,48,9268,C,Running Contract
6019,5033,960725,1948-10-04,11400,12,950,A,Contract Finished
6421,6985,960725,1948-10-04,96768,36,2688,C,Running Contract
6992,9790,960727,1950-10-04,133968,48,2791,C,Running Contract
5136,846,960728,1951-10-04,187104,24,7796,A,Contract Finished
5337,1886,960731,1954-10-04,162468,36,4513,C,Running Contract
5495,2580,960802,1925-11-04,89340,60,1489,C,Running Contract
7013,9928,960802,1925-11-04,89340,60,1489,C,Running Contract
6012,4994,960803,1926-11-04,258444,36,7179,C,Running Contract
6471,7184,960804,1927-11-04,155640,24,6485,A,Contract Finished
6296,6358,960806,1929-11-04,270384,48,5633,C,Running Contract
7305,11359,960806,1929-11-04,54024,12,4502,A,Contract Finished
6144,5593,960809,1932-11-04,44376,12,3698,A,Contract Finished
6283,6289,960811,1934-11-04,85632,48,1784,C,Running Contract
7246,11054,960820,1943-11-04,148920,60,2482,C,Running Contract
5088,544,960822,1945-11-04,91152,24,3798,A,Contract Finished
5988,4851,960822,1945-11-04,141648,24,5902,A,Contract Finished
5282,1583,960824,1947-11-04,388512,48,8094,D,Client in Debt
5938,4650,960825,1948-11-04,402000,60,6700,C,Running Contract
5606,3084,960828,1951-11-04,253512,36,7042,D,Client in Debt
5385,2143,960909,1932-12-05,71460,36,1985,C,Running Contract
6865,9199,960911,1934-12-05,29448,12,2454,B,Loan Not Paid
5586,2994,960914,1937-12-05,48744,36,1354,C,Running Contract
6302,6397,960916,1939-12-05,181020,60,3017,C,Running Contract
7194,10762,960917,1940-12-05,68832,36,1912,C,Running Contract
6461,7136,960919,1942-12-05,74124,36,2059,C,Running Contract
6732,8533,960919,1942-12-05,174048,48,3626,C,Running Contract
6613,7926,960922,1945-12-05,84120,24,3505,A,Contract Finished
7036,10019,960925,1948-12-05,194940,36,5415,C,Running Contract
5897,4476,960925,1948-12-05,15192,24,633,A,Contract Finished
6995,9814,960926,1949-12-05,96168,12,8014,A,Contract Finished
5415,2236,960926,1949-12-05,139464,36,3874,D,Client in Debt
7136,10436,960928,1951-12-05,54396,36,1511,C,Running Contract
7271,11186,961002,1926-01-04,392460,60,6541,C,Running Contract
5375,2106,961003,1927-01-04,101520,12,8460,A,Contract Finished
5635,3230,961004,1928-01-04,77184,36,2144,C,Running Contract
6817,9024,961004,1928-01-04,70656,48,1472,C,Running Contract
5923,4585,961010,1934-01-04,64656,48,1347,C,Running Contract
5329,1862,961016,1940-01-04,396120,60,6602,C,Running Contract
6644,8039,961020,1944-01-04,93600,24,3900,A,Contract Finished
6354,6688,961023,1947-01-04,22968,36,638,C,Running Contract
5082,501,961024,1948-01-04,262980,60,4383,C,Running Contract
6585,7795,961029,1953-01-04,372120,60,6202,C,Running Contract
6921,9422,961029,1953-01-04,86184,12,7182,A,Contract Finished
5366,2062,961029,1953-01-04,86184,12,7182,A,Contract Finished
5886,4447,961031,1955-01-04,192744,36,5354,C,Running Contract
5741,3754,961103,1927-02-04,68544,24,2856,A,Contract Finished
4996,132,961106,1930-02-04,88440,12,7370,A,Contract Finished
6015,5001,961109,1933-02-04,110112,24,4588,A,Contract Finished
6309,6434,961111,1935-02-04,110136,24,4589,A,Contract Finished
6073,5263,961112,1936-02-04,276300,60,4605,C,Running Contract
6006,4948,961115,1939-02-04,359760,60,5996,C,Running Contract
5611,3115,961115,1939-02-04,321180,60,5353,C,Running Contract
6944,9548,961115,1939-02-04,46176,48,962,C,Running Contract
7101,10297,961118,1942-02-04,421008,48,8771,C,Running Contract
6599,7859,961119,1943-02-04,72120,12,6010,A,Contract Finished
6940,9510,961122,1946-02-04,228276,36,6341,C,Running Contract
5209,1250,961125,1949-02-04,182640,48,3805,C,Running Contract
5388,2153,961128,1952-02-04,61560,12,5130,A,Contract Finished
6011,4981,961128,1952-02-04,179328,48,3736,C,Running Contract
5591,3021,961204,1928-03-05,155616,48,3242,C,Running Contract
7154,10520,961205,1929-03-06,417600,60,6960,C,Running Contract
7130,10411,961211,1935-03-06,123408,24,5142,A,Contract Finished
6818,9030,961212,1936-03-05,155616,48,3242,C,Running Contract
5625,3189,961215,1939-03-06,222180,60,3703,D,Client in Debt
6805,8972,961221,1945-03-06,45024,48,938,C,Running Contract
7233,10963,961225,1949-03-06,115812,36,3217,C,Running Contract
7308,11362,961227,1951-03-06,129408,24,5392,A,Contract Finished
5895,4473,970103,1926-04-07,93960,60,1566,C,Running Contract
7122,10365,970104,1927-04-07,260640,36,7240,D,Client in Debt
6173,5724,970108,1931-04-07,232560,48,4845,C,Running Contract
6142,5591,970121,1944-04-06,221880,60,3698,C,Running Contract
5358,2018,970121,1944-04-06,38520,12,3210,A,Contract Finished
6095,5358,970124,1947-04-07,68340,60,1139,C,Running Contract
6878,9242,970124,1947-04-07,23184,12,1932,A,Contract Finished
6554,7637,970129,1952-04-06,390096,48,8127,C,Running Contract
6793,8931,970130,1953-04-07,186300,60,3105,C,Running Contract
7286,11271,970131,1954-04-07,67320,36,1870,C,Running Contract
6076,5269,970202,1925-05-08,117420,60,1957,C,Running Contract
5134,825,970202,1925-05-08,53076,12,4423,A,Contract Finished
5419,2246,970205,1928-05-07,415800,60,6930,C,Running Contract
6255,6158,970208,1931-05-08,247920,48,5165,D,Client in Debt
5656,3353,970209,1932-05-07,146064,24,6086,C,Running Contract
6934,9494,970209,1932-05-07,116832,12,9736,A,Contract Finished
6028,5072,970209,1932-05-07,317520,60,5292,C,Running Contract
6490,7262,970210,1933-05-08,73260,60,1221,C,Running Contract
6415,6950,970212,1935-05-08,475680,48,9910,C,Running Contract
7087,10215,970220,1943-05-08,44304,24,1846,C,Running Contract
5420,2247,970224,1947-05-08,72504,24,3021,C,Running Contract
5977,4803,970225,1948-05-07,59136,48,1232,C,Running Contract
6824,9052,970226,1949-05-08,71976,24,2999,D,Client in Debt
5207,1244,970228,1951-05-08,35904,48,748,C,Running Contract
7115,10351,970304,1927-06-05,88704,48,1848,C,Running Contract
7250,11069,970304,1927-06-05,119136,48,2482,C,Running Contract
6010,4969,970306,1929-06-05,150180,60,2503,C,Running Contract
6088,5317,970307,1930-06-05,90180,36,2505,C,Running Contract
5682,3455,970307,1930-06-05,67464,12,5622,A,Contract Finished
7201,10807,970307,1930-06-05,67464,12,5622,A,Contract Finished
6938,9504,970310,1933-06-05,341280,60,5688,C,Running Contract
6875,9235,970313,1936-06-05,83280,48,1735,C,Running Contract
5953,4715,970314,1937-06-05,97176,24,4049,C,Running Contract
5942,4681,970315,1938-06-05,162624,48,3388,C,Running Contract
5382,2134,970317,1940-06-05,22932,36,637,C,Running Contract
6377,6792,970317,1940-06-05,17184,12,1432,A,Contract Finished
5931,4618,970317,1940-06-05,66696,24,2779,D,Client in Debt
5992,4863,970318,1941-06-05,76080,12,6340,A,Contract Finished
5790,4033,970320,1943-06-05,84288,48,1756,C,Running Contract
6753,8688,970320,1943-06-05,67980,12,5665,A,Contract Finished
6562,7674,970321,1944-06-05,94488,24,3937,C,Running Contract
7046,10049,970328,1951-06-05,91632,12,7636,A,Contract Finished
5868,4361,970329,1952-06-05,90156,12,7513,A,Contract Finished
5784,3967,970329,1952-06-05,84600,36,2350,D,Client in Debt
5878,4415,970401,1924-07-06,74040,12,6170,A,Contract Finished
5110,675,970401,1924-07-06,102240,60,1704,C,Running Contract
5210,1252,970401,1924-07-06,148140,36,4115,C,Running Contract
7230,10954,970402,1925-07-06,18720,60,312,C,Running Contract
5005,176,970410,1933-07-06,27456,12,2288,A,Contract Finished
6871,9225,970413,1936-07-06,164256,48,3422,C,Running Contract
5363,2051,970422,1945-07-06,293880,60,4898,D,Client in Debt
7253,11079,970426,1949-07-06,98304,12,8192,A,Contract Finished
6055,5181,970428,1951-07-06,399120,60,6652,C,Running Contract
5072,472,970428,1951-07-06,196800,24,8200,D,Client in Debt
6913,9377,970429,1952-07-06,99936,24,4164,C,Running Contract
6386,6856,970430,1953-07-06,124344,36,3454,C,Running Contract
5634,3229,970501,1924-08-05,39024,12,3252,A,Contract Finished
5758,3859,970502,1925-08-05,307200,60,5120,D,Client in Debt
6819,9031,970503,1926-08-05,50112,24,2088,C,Running Contract
7088,10233,970503,1926-08-05,239160,60,3986,C,Running Contract
5039,314,970503,1926-08-05,66840,24,2785,C,Running Contract
5532,2754,970504,1927-08-05,335280,48,6985,C,Running Contract
6037,5118,970504,1927-08-05,53232,48,1109,C,Running Contract
6322,6510,970506,1929-08-05,76992,24,3208,C,Running Contract
6887,9263,970508,1931-08-05,39576,12,3298,A,Contract Finished
6660,8094,970509,1932-08-05,220428,36,6123,C,Running Contract
5451,2350,970511,1934-08-05,159744,48,3328,C,Running Contract
6014,4999,970518,1941-08-05,165168,36,4588,C,Running Contract
5556,2872,970519,1942-08-05,268320,60,4472,C,Running Contract
6346,6649,970522,1945-08-05,100260,60,1671,C,Running Contract
5850,4293,970522,1945-08-05,164196,36,4561,C,Running Contract
5940,4660,970528,1951-08-05,106944,24,4456,C,Running Contract
7119,10361,970602,1925-09-05,86880,12,7240,A,Contract Finished
5253,1447,970603,1926-09-05,100080,48,2085,C,Running Contract
6851,9138,970603,1926-09-05,272220,60,4537,D,Client in Debt
6695,8320,970604,1927-09-05,309660,60,5161,C,Running Contract
6908,9353,970608,1931-09-05,188616,24,7859,C,Running Contract
7255,11096,970609,1932-09-05,213300,60,3555,C,Running Contract
5674,3418,970610,1933-09-05,207264,48,4318,C,Running Contract
6278,6265,970610,1933-09-05,87360,24,3640,C,Running Contract
5486,2516,970613,1936-09-05,466608,48,9721,C,Running Contract
5174,1093,970613,1936-09-05,385104,48,8023,C,Running Contract
6621,7957,970614,1937-09-05,42900,12,3575,A,Contract Finished
6313,6461,970615,1938-09-05,150912,36,4192,C,Running Contract
6435,7045,970616,1939-09-05,288720,48,6015,C,Running Contract
6970,9677,970617,1940-09-05,31620,60,527,C,Running Contract
6310,6440,970617,1940-09-05,34572,12,2881,A,Contract Finished
5932,4626,970618,1941-09-05,33348,12,2779,A,Contract Finished
6877,9241,970619,1942-09-05,285240,60,4754,C,Running Contract
6763,8772,970619,1942-09-05,88272,48,1839,C,Running Contract
7085,10202,970619,1942-09-05,305424,48,6363,C,Running Contract
7049,10063,970624,1947-09-05,233424,36,6484,C,Running Contract
6959,9633,970630,1953-09-05,59448,24,2477,D,Client in Debt
5214,1270,970701,1924-10-05,74772,36,2077,C,Running Contract
6350,6678,970709,1932-10-05,294384,48,6133,C,Running Contract
5063,442,970710,1933-10-05,357840,48,7455,D,Client in Debt
5041,319,970711,1934-10-05,369000,60,6150,C,Running Contract
5086,525,970716,1939-10-05,210384,48,4383,C,Running Contract
6942,9513,970716,1939-10-05,18324,12,1527,A,Contract Finished
5270,1528,970721,1944-10-05,191088,48,3981,C,Running Contract
